Format Version,1.21,Take Name,Take 2021-02-24 11.08.39 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-02-24 11.08.39 AM,Total Frames in Take,1337,Total Exported Frames,1337,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker
,,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position
Frame,Time,X,Y,Z
522,4.350000,2.547341,0.851376,0.673295
523,4.358333,2.545268,0.849543,0.669879
524,4.366667,2.542185,0.850692,0.669333
525,4.375000,2.539541,0.850397,0.667324
526,4.383333,2.537367,0.848470,0.663712
527,4.391667,2.534580,0.848305,0.661652
528,4.400000,2.531776,0.848171,0.659565
529,4.408333,2.529008,0.848073,0.657490
530,4.416667,2.525770,0.849537,0.657048
531,4.425000,2.523242,0.847640,0.653560
532,4.433333,2.520518,0.846877,0.651371
533,4.441667,2.517732,0.846124,0.649458
534,4.450000,2.514935,0.845307,0.647532
535,4.458333,2.512123,0.844123,0.645348
536,4.466667,2.509270,0.843433,0.643489
537,4.475000,2.506310,0.842601,0.641375
538,4.483333,2.503302,0.842085,0.639528
539,4.491667,2.500312,0.841197,0.637428
540,4.500000,2.497293,0.840501,0.635577
541,4.508333,2.494263,0.839581,0.633661
542,4.516667,2.491401,0.838466,0.631641
543,4.525000,2.488483,0.837533,0.629813
544,4.533333,2.485705,0.836590,0.627770
545,4.541667,2.482975,0.835785,0.626000
546,4.550000,2.480250,0.834978,0.624076
547,4.558333,2.477643,0.834032,0.622257
548,4.566667,2.474944,0.833066,0.620482
549,4.575000,2.472392,0.831888,0.618533
550,4.583333,2.469835,0.830938,0.616864
551,4.591667,2.467312,0.829839,0.615109
552,4.600000,2.464821,0.828614,0.613220
553,4.608333,2.462300,0.827586,0.611643
554,4.616667,2.459839,0.826511,0.609865
555,4.625000,2.457394,0.825373,0.608113
556,4.633333,2.454847,0.824556,0.606574
